id;email;password;full_name;job_title_id;department_id;age;contact_info;avatar_url;is_active;created_at
1;admin@igramagadev.ru;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;IgraM;2;1;15;+79990000001;img1.png;true;2026-01-30 16:00:00
2;sergey.petrov2@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Петров Сергей;1;3;42;+79882923946;https://i.pravatar.cc/150?u=2;true;2025-07-29 02:24:00
3;ekaterina.mihaylova3@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Михайлова Екатерина;2;1;38;+79697761166;https://i.pravatar.cc/150?u=3;true;2025-04-02 15:56:00
4;irina.ivanova4@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Иванова Ирина;1;2;37;+79545583296;https://i.pravatar.cc/150?u=4;true;2025-02-08 12:26:00
5;irina.mihaylova5@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Михайлова Ирина;5;1;50;+79975358848;https://i.pravatar.cc/150?u=5;true;2025-01-11 09:24:00
6;anna.fedorova6@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Федорова Анна;2;1;26;+79478859851;https://i.pravatar.cc/150?u=6;true;2025-06-11 12:02:00
7;dmitriy.sokolov7@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Соколов Дмитрий;1;2;58;+79360394719;https://i.pravatar.cc/150?u=7;true;2025-05-18 08:54:00
8;natalya.sokolova8@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Соколова Наталья;1;2;52;+79941612325;https://i.pravatar.cc/150?u=8;true;2025-09-26 10:25:00
9;natalya.novikova9@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Новикова Наталья;1;1;49;+79231681567;https://i.pravatar.cc/150?u=9;true;2025-07-20 07:17:00
10;maksim.vasilev10@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Васильев Максим;5;3;31;+79517317041;https://i.pravatar.cc/150?u=10;true;2025-01-25 05:51:00
11;artem.novikov11@corp.com;$2a$10$dXJ3SW6G7P50lGmMkkmwe.20cQQubK3.HZWzG3YB1tlRy.fqvM/BG;Новиков Артем;2;5;26;+79288050291;https://i.pravatar.cc/150?u=11;true;2025-06-13 02:52:00
